date,Astrology,Horoscope,Fortune telling,Psychic,Tarot reading,Numerology,Palm reading,Clairvoyant,Crystal ball,Magic spells,Occult,Spiritual healing,Witchcraft,Mediumship,Superstition
2016-02-28,68,56,0,75,86,0,0,0,0,0,0,0,69,0,0
2016-03-06,63,56,0,72,71,0,0,0,0,0,90,0,0,0,0
2016-03-13,64,52,0,55,54,57,0,0,0,0,0,0,0,0,0
2016-03-20,58,62,0,50,93,61,0,0,0,0,0,0,0,0,0
2016-03-27,59,65,0,64,88,0,0,0,0,0,0,0,0,0,0
2016-04-03,42,56,0,61,31,34,0,0,0,0,0,0,0,0,0
2016-04-10,56,53,0,52,79,0,0,0,0,0,0,0,0,0,0
2016-04-17,52,60,0,84,91,47,0,0,0,0,0,0,0,0,0
2016-04-24,49,54,0,79,59,47,0,54,0,0,0,0,0,0,0
2016-05-01,61,50,0,83,56,0,0,57,0,0,72,0,0,0,0
2016-05-08,45,52,0,87,58,57,0,0,0,0,0,0,0,0,0
2016-05-15,59,53,0,72,58,71,0,42,0,0,0,0,0,0,0
2016-05-22,52,55,0,47,50,51,0,0,0,0,0,0,0,0,0
2016-05-29,63,52,0,65,72,45,0,74,0,0,0,0,0,0,0
2016-06-05,47,51,0,60,73,56,0,0,0,0,0,0,0,0,0
2016-06-12,49,49,0,56,38,59,0,0,0,0,0,0,0,0,0
2016-06-19,51,55,0,64,66,61,0,54,0,0,0,0,0,0,73
2016-06-26,53,50,0,70,64,56,0,0,0,0,0,0,0,0,0
2016-07-03,51,55,0,81,61,36,0,0,0,0,0,0,0,0,0
2016-07-10,65,54,0,81,37,44,0,0,0,0,0,0,0,0,0
2016-07-17,61,52,0,81,73,43,100,0,0,0,0,0,0,0,0
2016-07-24,35,55,0,95,61,50,0,47,0,0,100,0,62,0,0
2016-07-31,33,54,0,69,56,0,0,0,0,0,0,0,0,0,0
2016-08-07,42,48,0,62,47,44,0,0,0,0,0,0,0,0,0
2016-08-14,53,49,0,83,56,0,0,0,0,0,0,0,0,0,0
2016-08-21,54,52,0,69,47,0,0,0,0,0,0,0,0,0,0
2016-08-28,78,56,0,57,55,54,0,0,0,0,0,0,0,0,0
2016-09-04,35,59,0,56,93,47,0,0,0,0,0,0,0,0,0
2016-09-11,56,54,0,70,79,42,0,0,0,0,0,0,0,0,100
2016-09-18,66,75,0,67,46,44,0,0,0,0,88,100,65,0,0
2016-09-25,52,63,0,68,100,42,0,50,0,0,0,0,0,0,0
2016-10-02,55,60,0,91,71,60,0,0,0,0,0,0,0,0,0
2016-10-09,46,48,0,68,48,0,0,0,0,0,0,0,0,0,0
2016-10-16,55,50,0,49,56,41,0,0,0,0,0,0,0,0,0
2016-10-23,37,57,0,75,75,43,0,50,0,0,0,0,0,0,0
2016-10-30,58,59,0,78,86,41,0,55,0,0,74,0,59,0,96
2016-11-06,57,56,0,100,56,69,0,0,0,0,0,0,57,0,0
2016-11-13,59,51,0,67,58,63,0,0,0,0,0,0,67,0,78
2016-11-20,37,54,0,66,72,40,0,0,0,0,0,0,0,0,0
2016-11-27,75,56,0,86,68,56,0,46,0,0,0,0,0,0,0
2016-12-04,51,55,0,61,54,51,0,0,0,0,0,0,0,0,0
2016-12-11,42,59,0,49,36,54,0,0,0,0,0,0,0,0,0
2016-12-18,63,70,0,72,54,50,0,0,0,0,0,0,0,0,0
2016-12-25,80,100,0,88,69,69,0,0,0,0,0,0,0,0,0
2017-01-01,80,96,0,79,88,80,0,0,0,0,0,0,0,0,0
2017-01-08,62,70,0,55,92,86,0,0,0,0,0,0,0,0,0
2017-01-15,54,59,0,68,73,48,0,0,0,0,0,0,0,0,0
2017-01-22,50,67,0,74,85,54,0,49,73,0,0,0,0,0,0
2017-01-29,60,74,0,86,67,48,0,0,0,0,0,0,0,0,0
2017-02-05,66,54,0,64,41,0,0,46,0,0,0,0,0,0,0
2017-02-12,56,56,0,60,61,41,0,0,0,0,0,0,0,0,67
2017-02-19,68,60,0,71,47,46,0,0,0,0,0,0,0,0,66
2017-02-26,61,56,0,62,76,39,0,53,0,0,65,0,0,0,0
2017-03-05,51,54,0,66,77,0,0,40,0,0,0,0,0,0,0
2017-03-12,51,53,0,73,47,40,0,0,0,0,0,0,0,0,0
2017-03-19,49,48,0,75,62,42,94,40,0,0,0,0,0,0,0
2017-03-26,53,57,0,79,45,53,69,50,0,0,0,0,0,0,62
2017-04-02,49,47,0,85,40,35,0,0,0,0,0,0,0,0,0
2017-04-09,42,58,0,43,73,63,0,0,0,0,94,0,0,0,0
2017-04-16,56,60,0,74,85,67,0,0,0,0,0,0,0,0,78
2017-04-23,47,55,0,77,71,96,0,0,0,0,68,0,0,0,0
2017-04-30,47,54,0,54,68,37,0,0,0,0,0,0,0,0,0
2017-05-07,40,54,0,41,50,0,0,54,0,0,0,0,0,0,0
2017-05-14,52,47,0,72,66,42,0,0,0,0,75,0,0,0,0
2017-05-21,47,58,0,70,48,0,0,0,0,0,0,0,0,100,76
2017-05-28,75,57,100,47,39,52,71,0,0,0,0,0,0,0,0
2017-06-04,59,52,0,61,44,53,0,46,0,0,69,0,0,0,0
2017-06-11,42,48,0,40,49,0,0,42,0,0,79,0,63,0,0
2017-06-18,48,59,0,53,37,54,0,0,0,0,0,0,0,0,0
