"Date","Price","Open","High","Low","Vol.","Change %"
"03/01/2017","1.2295","1.2382","1.2406","1.2279","","-0.69%"
"02/28/2017","1.2381","1.2443","1.2470","1.2369","","-0.51%"
"02/27/2017","1.2444","1.2467","1.2486","1.2384","","-0.19%"
"02/24/2017","1.2468","1.2554","1.2572","1.2447","","-0.69%"
"02/23/2017","1.2555","1.2443","1.2562","1.2428","","0.84%"
"02/22/2017","1.2451","1.2471","1.2509","1.2423","","-0.18%"
"02/21/2017","1.2473","1.2458","1.2482","1.2398","","0.10%"
"02/20/2017","1.2461","1.2410","1.2483","1.2401","","0.38%"
"02/17/2017","1.2414","1.2490","1.2513","1.2388","","-0.61%"
"02/16/2017","1.2490","1.2462","1.2527","1.2454","","0.25%"
"02/15/2017","1.2459","1.2471","1.2482","1.2381","","-0.09%"
"02/14/2017","1.2470","1.2526","1.2550","1.2443","","-0.46%"
"02/13/2017","1.2528","1.2474","1.2541","1.2470","","0.30%"
"02/10/2017","1.2491","1.2498","1.2524","1.2438","","-0.04%"
"02/09/2017","1.2496","1.2542","1.2585","1.2490","","-0.34%"
"02/08/2017","1.2539","1.2508","1.2551","1.2474","","0.22%"
"02/07/2017","1.2511","1.2465","1.2547","1.2346","","0.33%"
"02/06/2017","1.2470","1.2491","1.2510","1.2424","","-0.14%"
"02/03/2017","1.2488","1.2525","1.2539","1.2458","","-0.32%"
"02/02/2017","1.2528","1.2664","1.2715","1.2522","","-1.03%"
"02/01/2017","1.2658","1.2587","1.2686","1.2549","","0.63%"
"01/31/2017","1.2579","1.2485","1.2598","1.2412","","0.74%"
"01/30/2017","1.2486","1.2552","1.2604","1.2466","","-0.55%"
"01/27/2017","1.2555","1.2599","1.2614","1.2523","","-0.30%"
"01/26/2017","1.2593","1.2638","1.2680","1.2562","","-0.32%"
"01/25/2017","1.2634","1.2525","1.2643","1.2492","","0.90%"
"01/24/2017","1.2521","1.2534","1.2546","1.2415","","-0.11%"
"01/23/2017","1.2535","1.2363","1.2546","1.2356","","1.29%"
"01/20/2017","1.2375","1.2342","1.2381","1.2260","","0.27%"
"01/19/2017","1.2342","1.2257","1.2343","1.2251","","0.68%"
"01/18/2017","1.2259","1.2414","1.2417","1.2252","","-1.24%"
"01/17/2017","1.2413","1.2044","1.2415","1.2014","","3.03%"
"01/16/2017","1.2048","1.2064","1.2090","1.1985","","-1.08%"
"01/13/2017","1.2179","1.2158","1.2234","1.2122","","0.13%"
"01/12/2017","1.2163","1.2208","1.2318","1.2150","","-0.40%"
"01/11/2017","1.2212","1.2176","1.2270","1.2037","","0.29%"
"01/10/2017","1.2177","1.2162","1.2191","1.2105","","0.12%"
"01/09/2017","1.2162","1.2268","1.2273","1.2124","","-1.02%"
"01/06/2017","1.2287","1.2424","1.2437","1.2264","","-1.05%"
"01/05/2017","1.2418","1.2326","1.2436","1.2272","","0.78%"
"01/04/2017","1.2322","1.2237","1.2356","1.2222","","0.68%"
"01/03/2017","1.2239","1.2274","1.2308","1.2200","","-0.29%"
"01/02/2017","1.2275","1.2345","1.2354","1.2268","","-0.51%"
"12/30/2016","1.2338","1.2263","1.2389","1.2245","","0.61%"
"12/29/2016","1.2263","1.2228","1.2280","1.2212","","0.30%"
"12/28/2016","1.2226","1.2269","1.2298","1.2199","","-0.37%"
"12/27/2016","1.2271","1.2284","1.2290","1.2237","","-0.14%"
"12/26/2016","1.2288","1.2269","1.2314","1.2264","","-0.03%"
"12/23/2016","1.2292","1.2283","1.2301","1.2228","","0.07%"
"12/22/2016","1.2283","1.2350","1.2379","1.2274","","-0.57%"
"12/21/2016","1.2354","1.2364","1.2393","1.2323","","-0.11%"
"12/20/2016","1.2367","1.2401","1.2414","1.2313","","-0.27%"
"12/19/2016","1.2400","1.2493","1.2504","1.2355","","-0.78%"
"12/16/2016","1.2497","1.2427","1.2519","1.2389","","0.63%"
"12/15/2016","1.2419","1.2560","1.2572","1.2376","","-1.16%"
"12/14/2016","1.2565","1.2659","1.2721","1.2529","","-0.73%"
"12/13/2016","1.2658","1.2675","1.2729","1.2651","","-0.17%"
"12/12/2016","1.2680","1.2575","1.2704","1.2556","","0.83%"
"12/09/2016","1.2576","1.2589","1.2623","1.2550","","-0.08%"
"12/08/2016","1.2586","1.2626","1.2706","1.2547","","-0.29%"
"12/07/2016","1.2622","1.2678","1.2685","1.2569","","-0.43%"
"12/06/2016","1.2677","1.2729","1.2776","1.2655","","-0.44%"
"12/05/2016","1.2733","1.2727","1.2746","1.2625","","0.03%"
"12/02/2016","1.2729","1.2599","1.2747","1.2574","","1.08%"
"12/01/2016","1.2593","1.2506","1.2697","1.2500","","0.70%"
"11/30/2016","1.2505","1.2490","1.2524","1.2416","","0.12%"
"11/29/2016","1.2490","1.2414","1.2527","1.2386","","0.60%"
"11/28/2016","1.2415","1.2470","1.2533","1.2385","","-0.49%"
"11/25/2016","1.2476","1.2450","1.2491","1.2415","","0.19%"
"11/24/2016","1.2452","1.2442","1.2499","1.2402","","0.10%"
"11/23/2016","1.2440","1.2425","1.2470","1.2359","","0.13%"
"11/22/2016","1.2424","1.2497","1.2514","1.2383","","-0.55%"
"11/21/2016","1.2493","1.2348","1.2514","1.2311","","1.19%"
"11/18/2016","1.2346","1.2418","1.2438","1.2300","","-0.56%"
"11/17/2016","1.2416","1.2443","1.2507","1.2407","","-0.22%"
"11/16/2016","1.2443","1.2456","1.2504","1.2410","","-0.10%"
"11/15/2016","1.2456","1.2489","1.2531","1.2382","","-0.25%"
"11/14/2016","1.2487","1.2593","1.2614","1.2441","","-0.91%"
"11/11/2016","1.2602","1.2554","1.2675","1.2524","","0.37%"
"11/10/2016","1.2555","1.2405","1.2585","1.2374","","1.20%"
"11/09/2016","1.2406","1.2373","1.2549","1.2351","","0.20%"
"11/08/2016","1.2381","1.2393","1.2444","1.2362","","-0.14%"
"11/07/2016","1.2398","1.2513","1.2527","1.2379","","-0.97%"
"11/04/2016","1.2519","1.2462","1.2559","1.2448","","0.46%"
"11/03/2016","1.2462","1.2302","1.2496","1.2295","","1.29%"
"11/02/2016","1.2303","1.2243","1.2360","1.2224","","0.49%"
"11/01/2016","1.2243","1.2237","1.2282","1.2206","","-0.01%"
"10/31/2016","1.2244","1.2179","1.2251","1.2143","","0.48%"
"10/28/2016","1.2185","1.2164","1.2217","1.2117","","0.18%"
"10/27/2016","1.2163","1.2248","1.2271","1.2148","","-0.69%"
"10/26/2016","1.2248","1.2189","1.2251","1.2154","","0.49%"
"10/25/2016","1.2188","1.2237","1.2245","1.2083","","-0.42%"
"10/24/2016","1.2239","1.2224","1.2253","1.2186","","0.03%"
"10/21/2016","1.2235","1.2254","1.2263","1.2171","","-0.14%"
"10/20/2016","1.2252","1.2285","1.2300","1.2210","","-0.28%"
"10/19/2016","1.2286","1.2297","1.2334","1.2257","","-0.09%"
"10/18/2016","1.2297","1.2181","1.2327","1.2174","","0.93%"
"10/17/2016","1.2184","1.2188","1.2204","1.2136","","-0.02%"
"10/14/2016","1.2187","1.2259","1.2263","1.2168","","-0.55%"
"10/13/2016","1.2255","1.2210","1.2275","1.2134","","0.38%"
"10/12/2016","1.2208","1.2123","1.2328","1.2105","","0.70%"
"10/11/2016","1.2123","1.2367","1.2377","1.2091","","-1.94%"
"10/10/2016","1.2363","1.2435","1.2453","1.2347","","-0.57%"
"10/07/2016","1.2434","1.2616","1.2626","1.1452","","-1.44%"
"10/06/2016","1.2616","1.2746","1.2761","1.2601","","-1.04%"
"10/05/2016","1.2749","1.2728","1.2772","1.2684","","0.16%"
"10/04/2016","1.2728","1.2842","1.2862","1.2717","","-0.90%"
"10/03/2016","1.2843","1.2940","1.2948","1.2817","","-1.02%"
"09/30/2016","1.2976","1.2969","1.3023","1.2936","","0.05%"
"09/29/2016","1.2970","1.3016","1.3060","1.2953","","-0.38%"
"09/28/2016","1.3019","1.3023","1.3033","1.2979","","-0.02%"
"09/27/2016","1.3022","1.2975","1.3027","1.2936","","0.36%"
"09/26/2016","1.2975","1.2952","1.2988","1.2914","","0.01%"
"09/23/2016","1.2974","1.3071","1.3090","1.2913","","-0.80%"
"09/22/2016","1.3078","1.3036","1.3125","1.3028","","0.39%"
"09/21/2016","1.3027","1.2989","1.3048","1.2945","","0.29%"
"09/20/2016","1.2989","1.3029","1.3064","1.2946","","-0.29%"
"09/19/2016","1.3027","1.2995","1.3093","1.2992","","0.20%"
"09/16/2016","1.3001","1.3241","1.3255","1.2998","","-1.79%"
"09/15/2016","1.3238","1.3232","1.3279","1.3179","","0.02%"
"09/14/2016","1.3235","1.3191","1.3242","1.3138","","0.30%"
"09/13/2016","1.3195","1.3337","1.3344","1.3167","","-1.07%"
"09/12/2016","1.3338","1.3273","1.3351","1.3239","","0.54%"
"09/09/2016","1.3267","1.3299","1.3341","1.3242","","-0.22%"
"09/08/2016","1.3296","1.3339","1.3377","1.3281","","-0.31%"
"09/07/2016","1.3338","1.3438","1.3441","1.3317","","-0.75%"
"09/06/2016","1.3439","1.3303","1.3447","1.3295","","1.01%"
"09/05/2016","1.3304","1.3299","1.3379","1.3291","","0.08%"
"09/02/2016","1.3293","1.3272","1.3356","1.3255","","0.19%"
"09/01/2016","1.3268","1.3139","1.3318","1.3125","","0.99%"
"08/31/2016","1.3138","1.3077","1.3158","1.3065","","0.42%"
"08/30/2016","1.3083","1.3110","1.3121","1.3060","","-0.15%"
"08/29/2016","1.3103","1.3133","1.3140","1.3057","","-0.27%"
"08/26/2016","1.3139","1.3191","1.3281","1.3120","","-0.39%"
"08/25/2016","1.3191","1.3233","1.3264","1.3166","","-0.32%"
"08/24/2016","1.3233","1.3193","1.3274","1.3160","","0.28%"
"08/23/2016","1.3196","1.3137","1.3215","1.3131","","0.43%"
"08/22/2016","1.3139","1.3060","1.3158","1.3028","","0.49%"
"08/19/2016","1.3075","1.3173","1.3186","1.3021","","-0.71%"
"08/18/2016","1.3168","1.3043","1.3174","1.3033","","0.97%"
"08/17/2016","1.3042","1.3047","1.3089","1.2979","","-0.02%"
"08/16/2016","1.3045","1.2878","1.3052","1.2873","","1.28%"
"08/15/2016","1.2880","1.2920","1.2945","1.2864","","-0.33%"
"08/12/2016","1.2923","1.2960","1.3039","1.2905","","-0.25%"
"08/11/2016","1.2955","1.3006","1.3028","1.2935","","-0.43%"
"08/10/2016","1.3011","1.3005","1.3096","1.2990","","0.07%"
"08/09/2016","1.3002","1.3040","1.3053","1.2956","","-0.28%"
"08/08/2016","1.3039","1.3056","1.3097","1.3027","","-0.26%"
"08/05/2016","1.3073","1.3110","1.3178","1.3023","","-0.27%"
"08/04/2016","1.3108","1.3329","1.3349","1.3103","","-1.65%"
"08/03/2016","1.3328","1.3357","1.3373","1.3280","","-0.22%"
"08/02/2016","1.3357","1.3181","1.3366","1.3172","","1.36%"
"08/01/2016","1.3178","1.3234","1.3276","1.3165","","-0.40%"
"07/29/2016","1.3231","1.3169","1.3305","1.3150","","0.50%"
"07/28/2016","1.3165","1.3220","1.3249","1.3117","","-0.42%"
"07/27/2016","1.3221","1.3132","1.3235","1.3071","","0.68%"
"07/26/2016","1.3132","1.3139","1.3179","1.3059","","-0.07%"
"07/25/2016","1.3141","1.3112","1.3165","1.3094","","0.23%"
"07/22/2016","1.3111","1.3236","1.3294","1.3081","","-0.93%"
"07/21/2016","1.3234","1.3208","1.3276","1.3157","","0.18%"
"07/20/2016","1.3210","1.3111","1.3227","1.3063","","0.76%"
"07/19/2016","1.3111","1.3255","1.3276","1.3072","","-1.09%"
"07/18/2016","1.3256","1.3169","1.3313","1.3163","","0.48%"
"07/15/2016","1.3193","1.3342","1.3481","1.3132","","-1.12%"
"07/14/2016","1.3342","1.3146","1.3475","1.3106","","1.48%"
"07/13/2016","1.3147","1.3248","1.3338","1.3132","","-0.72%"
"07/12/2016","1.3243","1.2990","1.3296","1.2969","","1.92%"
"07/11/2016","1.2994","1.2950","1.3018","1.2850","","0.29%"
"07/08/2016","1.2956","1.2909","1.3018","1.2878","","0.36%"
"07/07/2016","1.2910","1.2932","1.3050","1.2874","","-0.16%"
"07/06/2016","1.2931","1.3020","1.3030","1.2798","","-0.71%"
"07/05/2016","1.3023","1.3289","1.3296","1.2999","","-2.01%"
"07/04/2016","1.3290","1.3247","1.3340","1.3228","","0.21%"
"07/01/2016","1.3262","1.3307","1.3350","1.3244","","-0.37%"
"06/30/2016","1.3311","1.3433","1.3500","1.3207","","-0.86%"
"06/29/2016","1.3426","1.3342","1.3535","1.3285","","0.63%"
"06/28/2016","1.3342","1.3225","1.3420","1.3198","","0.93%"
"06/27/2016","1.3219","1.3564","1.3564","1.3119","","-3.37%"
"06/24/2016","1.3680","1.4872","1.5020","1.3226","","-8.06%"
"06/23/2016","1.4879","1.4706","1.4947","1.4700","","1.16%"
"06/22/2016","1.4708","1.4648","1.4777","1.4644","","0.42%"
"06/21/2016","1.4647","1.4700","1.4783","1.4614","","-0.35%"
"06/20/2016","1.4699","1.4354","1.4722","1.4354","","2.37%"
"06/17/2016","1.4358","1.4204","1.4388","1.4196","","1.09%"
"06/16/2016","1.4203","1.4204","1.4253","1.4011","","-0.01%"
"06/15/2016","1.4205","1.4116","1.4222","1.4092","","0.62%"
"06/14/2016","1.4117","1.4273","1.4273","1.4091","","-1.09%"
"06/13/2016","1.4272","1.4257","1.4327","1.4113","","0.10%"
"06/10/2016","1.4258","1.4460","1.4474","1.4179","","-1.39%"
"06/09/2016","1.4459","1.4501","1.4528","1.4447","","-0.30%"
"06/08/2016","1.4502","1.4541","1.4600","1.4497","","-0.29%"
"06/07/2016","1.4544","1.4441","1.4645","1.4435","","0.71%"
"06/06/2016","1.4442","1.4519","1.4526","1.4356","","-0.54%"
"06/03/2016","1.4520","1.4419","1.4582","1.4398","","0.66%"
"06/02/2016","1.4425","1.4417","1.4474","1.4405","","0.06%"
"06/01/2016","1.4416","1.4479","1.4508","1.4386","","-0.43%"
"05/31/2016","1.4478","1.4639","1.4724","1.4462","","-1.10%"
"05/30/2016","1.4639","1.4624","1.4641","1.4586","","0.10%"
"05/27/2016","1.4625","1.4671","1.4693","1.4605","","-0.31%"
"05/26/2016","1.4670","1.4700","1.4744","1.4644","","-0.18%"
"05/25/2016","1.4696","1.4636","1.4730","1.4601","","0.41%"
"05/24/2016","1.4636","1.4488","1.4646","1.4474","","1.04%"
"05/23/2016","1.4485","1.4506","1.4550","1.4443","","-0.11%"
"05/20/2016","1.4501","1.4611","1.4615","1.4482","","-0.76%"
"05/19/2016","1.4612","1.4600","1.4666","1.4564","","0.11%"
"05/18/2016","1.4596","1.4459","1.4635","1.4401","","0.91%"
"05/17/2016","1.4464","1.4398","1.4526","1.4393","","0.44%"
"05/16/2016","1.4401","1.4352","1.4421","1.4335","","0.27%"
"05/13/2016","1.4362","1.4450","1.4458","1.4339","","-0.61%"
"05/12/2016","1.4450","1.4450","1.4534","1.4409","","0.01%"
"05/11/2016","1.4448","1.4438","1.4488","1.4394","","0.05%"
"05/10/2016","1.4441","1.4407","1.4478","1.4387","","0.24%"
"05/09/2016","1.4407","1.4429","1.4479","1.4373","","-0.16%"
"05/06/2016","1.4430","1.4484","1.4544","1.4413","","-0.39%"
"05/05/2016","1.4486","1.4499","1.4533","1.4446","","-0.04%"
"05/04/2016","1.4492","1.4536","1.4572","1.4460","","-0.29%"
"05/03/2016","1.4534","1.4673","1.4770","1.4528","","-0.95%"
"05/02/2016","1.4673","1.4611","1.4697","1.4578","","0.41%"
"04/29/2016","1.4613","1.4609","1.4671","1.4578","","0.02%"
"04/28/2016","1.4610","1.4541","1.4623","1.4523","","0.46%"
"04/27/2016","1.4543","1.4585","1.4624","1.4476","","-0.27%"
"04/26/2016","1.4582","1.4483","1.4640","1.4476","","0.69%"
"04/25/2016","1.4482","1.4414","1.4521","1.4402","","0.55%"
"04/22/2016","1.4403","1.4323","1.4451","1.4311","","0.56%"
"04/21/2016","1.4323","1.4333","1.4441","1.4300","","-0.07%"
"04/20/2016","1.4333","1.4393","1.4411","1.4327","","-0.42%"
"04/19/2016","1.4393","1.4277","1.4420","1.4267","","0.81%"
"04/18/2016","1.4278","1.4225","1.4294","1.4134","","0.58%"
"04/15/2016","1.4195","1.4155","1.4241","1.4131","","0.29%"
"04/14/2016","1.4154","1.4203","1.4212","1.4089","","-0.34%"
"04/13/2016","1.4203","1.4274","1.4280","1.4191","","-0.50%"
"04/12/2016","1.4275","1.4240","1.4349","1.4196","","0.24%"
"04/11/2016","1.4241","1.4124","1.4286","1.4104","","0.81%"
"04/08/2016","1.4126","1.4060","1.4144","1.4042","","0.49%"
"04/07/2016","1.4057","1.4120","1.4159","1.4046","","-0.45%"
"04/06/2016","1.4121","1.4160","1.4171","1.4005","","-0.28%"
"04/05/2016","1.4161","1.4263","1.4281","1.4122","","-0.72%"
"04/04/2016","1.4263","1.4219","1.4322","1.4189","","0.26%"
"04/01/2016","1.4226","1.4365","1.4379","1.4176","","-0.95%"
"03/31/2016","1.4362","1.4380","1.4428","1.4327","","-0.11%"
"03/30/2016","1.4378","1.4380","1.4460","1.4360","","-0.05%"
"03/29/2016","1.4385","1.4257","1.4409","1.4197","","0.92%"
"03/28/2016","1.4254","1.4129","1.4282","1.4118","","0.78%"
"03/25/2016","1.4143","1.4153","1.4159","1.4108","","-0.08%"
"03/24/2016","1.4154","1.4114","1.4184","1.4057","","0.26%"
"03/23/2016","1.4117","1.4207","1.4228","1.4082","","-0.64%"
"03/22/2016","1.4208","1.4368","1.4398","1.4190","","-1.11%"
"03/21/2016","1.4367","1.4480","1.4480","1.4364","","-0.78%"
"03/18/2016","1.4480","1.4482","1.4516","1.4411","","0.01%"
"03/17/2016","1.4479","1.4258","1.4503","1.4220","","1.54%"
"03/16/2016","1.4259","1.4150","1.4274","1.4053","","0.75%"
"03/15/2016","1.4153","1.4301","1.4309","1.4139","","-1.04%"
"03/14/2016","1.4302","1.4384","1.4391","1.4291","","-0.59%"
"03/11/2016","1.4387","1.4281","1.4438","1.4254","","0.75%"
"03/10/2016","1.4280","1.4220","1.4322","1.4121","","0.44%"
"03/09/2016","1.4217","1.4217","1.4244","1.4177","","0.01%"
"03/08/2016","1.4216","1.4266","1.4276","1.4173","","-0.34%"
"03/07/2016","1.4265","1.4234","1.4284","1.4135","","0.26%"
"03/04/2016","1.4228","1.4179","1.4249","1.4108","","0.35%"
"03/03/2016","1.4179","1.4078","1.4196","1.4032","","0.72%"
"03/02/2016","1.4078","1.3948","1.4094","1.3914","","0.93%"
"03/01/2016","1.3948","1.3918","1.4019","1.3904","","0.23%"
"02/29/2016","1.3916","1.3869","1.3947","1.3834","","0.33%"
"02/26/2016","1.3870","1.3962","1.4045","1.3855","","-0.67%"
"02/25/2016","1.3963","1.3924","1.3997","1.3898","","0.26%"
"02/24/2016","1.3927","1.4022","1.4029","1.3877","","-0.68%"
"02/23/2016","1.4022","1.4149","1.4156","1.4005","","-0.90%"
"02/22/2016","1.4150","1.4310","1.4320","1.4058","","-1.78%"
"02/19/2016","1.4406","1.4333","1.4411","1.4248","","0.48%"
"02/18/2016","1.4337","1.4299","1.4398","1.4259","","0.28%"
"02/17/2016","1.4297","1.4303","1.4341","1.4236","","-0.06%"
"02/16/2016","1.4305","1.4438","1.4518","1.4279","","-0.90%"
"02/15/2016","1.4435","1.4501","1.4537","1.4413","","-0.50%"
"02/12/2016","1.4507","1.4479","1.4572","1.4444","","0.21%"
"02/11/2016","1.4477","1.4522","1.4565","1.4384","","-0.31%"
"02/10/2016","1.4522","1.4468","1.4579","1.4448","","0.34%"
"02/09/2016","1.4473","1.4430","1.4517","1.4378","","0.28%"
"02/08/2016","1.4432","1.4501","1.4547","1.4352","","-0.49%"
"02/05/2016","1.4503","1.4590","1.4594","1.4453","","-0.59%"
"02/04/2016","1.4589","1.4602","1.4670","1.4529","","-0.10%"
"02/03/2016","1.4604","1.4414","1.4653","1.4386","","1.34%"
"02/02/2016","1.4411","1.4434","1.4447","1.4326","","-0.15%"
"02/01/2016","1.4433","1.4243","1.4448","1.4228","","1.31%"
"01/29/2016","1.4247","1.4362","1.4415","1.4150","","-0.80%"
"01/28/2016","1.4362","1.4236","1.4412","1.4234","","0.90%"
"01/27/2016","1.4234","1.4352","1.4358","1.4230","","-0.82%"
"01/26/2016","1.4352","1.4249","1.4368","1.4173","","0.72%"
"01/25/2016","1.4249","1.4270","1.4311","1.4223","","-0.11%"
"01/22/2016","1.4265","1.4222","1.4364","1.4204","","0.33%"
"01/21/2016","1.4218","1.4189","1.4249","1.4080","","0.19%"
"01/20/2016","1.4191","1.4154","1.4220","1.4124","","0.23%"
"01/19/2016","1.4158","1.4242","1.4341","1.4129","","-0.60%"
"01/18/2016","1.4244","1.4262","1.4325","1.4236","","-0.10%"
"01/15/2016","1.4258","1.4416","1.4431","1.4251","","-1.08%"
"01/14/2016","1.4414","1.4404","1.4446","1.4359","","0.05%"
"01/13/2016","1.4407","1.4444","1.4476","1.4379","","-0.26%"
"01/12/2016","1.4444","1.4539","1.4560","1.4350","","-0.69%"
"01/11/2016","1.4544","1.4526","1.4608","1.4497","","0.17%"
"01/08/2016","1.4520","1.4617","1.4646","1.4506","","-0.66%"
"01/07/2016","1.4617","1.4630","1.4642","1.4533","","-0.07%"
"01/06/2016","1.4627","1.4675","1.4683","1.4601","","-0.31%"
"01/05/2016","1.4672","1.4712","1.4726","1.4637","","-0.31%"
"01/04/2016","1.4718","1.4748","1.4815","1.4663","","-0.20%"
"01/01/2016","1.4748","1.4739","1.4753","1.4739","","0.06%"
"12/31/2015","1.4739","1.4813","1.4845","1.4723","","-0.53%"
"12/30/2015","1.4817","1.4815","1.4852","1.4794","","0.03%"
"12/29/2015","1.4812","1.4877","1.4915","1.4784","","-0.44%"
"12/28/2015","1.4877","1.4910","1.4935","1.4871","","-0.38%"
"12/25/2015","1.4933","1.4915","1.4948","1.4879","","0.11%"
"12/24/2015","1.4917","1.4871","1.4947","1.4863","","0.30%"
"12/23/2015","1.4872","1.4831","1.4904","1.4819","","0.32%"
"12/22/2015","1.4825","1.4881","1.4908","1.4803","","-0.40%"
"12/21/2015","1.4885","1.4903","1.4935","1.4882","","-0.07%"
"12/18/2015","1.4895","1.4903","1.4951","1.4886","","-0.04%"
